Company, CIK, Filing form type, Year, Quarter, Filing date, Filelink
CDK GLOBAL INC,1609702,8K,2021,Q2,2021-06-01,1609702_8K_2021_0001609702-21-000043.htm
CADENCE DESIGN SYSTEMS INC,813672,10Q,2020,Q4,2020-01-01,813672_10Q_2021_0000813672-21-000028.htm
NORTONLIFELOCK INC,849399,8K,2021,Q2,2021-07-01,849399_8K_2021_0001104659-21-092314.htm
ELASTIC NV,1707753,10K,2020,Q4,2020-01-01,1707753_10K_2021_0001707753-21-000026.htm
LIVEPERSON INC,1102993,8K,2021,Q2,2021-05-01,1102993_8K_2021_0001102993-21-000079.htm
SNOWFLAKE INC,1640147,8K,2021,Q2,2021-05-01,1640147_8K_2021_0001640147-21-000103.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q2,2021-06-01,1167419_8K_2021_0001079973-21-000481.htm
8X8 INC,1023731,8K,2020,Q4,2020-01-01,1023731_8K_2021_0001023731-21-000031.htm
DROPBOX INC,1467623,8K,2021,Q2,2021-05-01,1467623_8K_2021_0001467623-21-000022.htm
BLACKBOXSTOCKS INC,1567900,8K,2021,Q1,2021-04-01,1567900_8K_2021_0001437749-21-008417.htm
CORNERSTONE ONDEMAND INC,1401680,8K,2021,Q3,2021-10-01,1401680_8K_2021_0001193125-21-300082.htm
FIREEYE INC,1370880,10Q,2020,Q4,2020-01-01,1370880_10Q_2021_0001370880-21-000033.htm
VEEVA SYSTEMS INC,1393052,10Q,2020,Q4,2020-01-01,1393052_10Q_2021_0001393052-21-000040.htm
SALESFORCE.COM INC,1108524,10Q,2020,Q4,2020-01-01,1108524_10Q_2021_0001108524-21-000030.htm
ONESPAN INC,1044777,8K,2021,Q1,2021-02-01,1044777_8K_2021_0001558370-21-001377.htm
MICROSOFT CORP,789019,8K,2021,Q1,2021-02-01,789019_8K_2021_0001193125-21-044940.htm
QUMU CORP,892482,10Q,2020,Q4,2020-01-01,892482_10Q_2021_0000892482-21-000021.htm
SS&C TECHNOLOGIES HLDGS INC,1402436,8K,2021,Q2,2021-07-01,1402436_8K_2021_0001564590-21-038625.htm
APPFOLIO INC,1433195,8K,2021,Q1,2021-03-01,1433195_8K_2021_0001433195-21-000022.htm
MEDALLIA INC,1540184,8K,2021,Q2,2021-06-01,1540184_8K_2021_0001540184-21-000012.htm
IDEANOMICS INC,837852,8K,2021,Q1,2021-04-01,837852_8K_2021_0001104659-21-050296.htm
FALCONSTOR SOFTWARE INC,922521,10Q,2020,Q4,2020-01-01,922521_10Q_2021_0001628280-21-015578.htm
BILL.COM HOLDINGS INC,1786352,10Q,2019,Q4,2019-01-01,1786352_10Q_2020_0001564590-21-004505.htm
CADENCE DESIGN SYSTEMS INC,813672,10Q,2020,Q4,2020-01-01,813672_10Q_2021_0000813672-21-000037.htm
FIVE9 INC,1288847,8K,2021,Q2,2021-05-01,1288847_8K_2021_0001288847-21-000074.htm
DOCUSIGN INC,1261333,10Q,2020,Q4,2020-01-01,1261333_10Q_2021_0001261333-21-000108.htm
CDK GLOBAL INC,1609702,10Q,2019,Q4,2019-01-01,1609702_10Q_2020_0001609702-21-000005.htm
SHARPSPRING INC,1506439,10Q,2020,Q4,2020-01-01,1506439_10Q_2021_0001654954-21-009070.htm
NEW RELIC INC,1448056,8K,2021,Q2,2021-05-01,1448056_8K_2021_0001448056-21-000020.htm
JACK IN THE BOX INC,807882,10Q,2020,Q4,2020-01-01,807882_10Q_2021_0000807882-21-000003.htm
OKTA INC,1660134,8K,2021,Q2,2021-05-01,1660134_8K_2021_0001193125-21-146823.htm
FAIR ISAAC CORP,814547,8K,2021,Q3,2021-10-01,814547_8K_2021_0001193125-21-303977.htm
EVERBRIDGE INC,1437352,8K,2021,Q1,2021-03-01,1437352_8K_2021_0001193125-21-077898.htm
ZOOM TELEPHONICS INC,1467761,8K,2021,Q2,2021-06-01,1467761_8K_2021_0001654954-21-006572.htm
YEXT INC,1614178,8K,2021,Q4,2021-12-01,1614178_8K_2021_0001614178-21-000245.htm
INTUIT INC,896878,8K,2021,Q1,2021-02-01,896878_8K_2021_0000896878-21-000057.htm
ZUORA INC,1423774,10Q,2020,Q4,2020-01-01,1423774_10Q_2021_0001423774-21-000047.htm
AVALARA INC,1348036,10Q,2020,Q4,2020-01-01,1348036_10Q_2021_0001564590-21-041748.htm
NUANCE COMMUNICATIONS INC,1002517,10K,2020,Q4,2020-01-01,1002517_10K_2021_0001002517-21-000052.htm
SMITH MICRO SOFTWARE INC,948708,8K,2021,Q1,2021-03-01,948708_8K_2021_0001564590-21-011473.htm
ACI WORLDWIDE INC,935036,8K,2021,Q2,2021-06-01,935036_8K_2021_0000935036-21-000041.htm
JACK IN THE BOX INC,807882,8K,2021,Q4,2021-12-01,807882_8K_2021_0001140361-21-040387.htm
EBIX INC,814549,8K,2021,Q1,2021-02-01,814549_8K_2021_0001193125-21-050510.htm
MITEK SYSTEMS INC,807863,8K,2021,Q1,2021-02-01,807863_8K_2021_0000807863-21-000020.htm
SALESFORCE.COM INC,1108524,8K,2021,Q2,2021-07-01,1108524_8K_2021_0001193125-21-220235.htm
IMAGEWARE SYSTEMS INC,941685,8K,2021,Q2,2021-06-01,941685_8K_2021_0001654954-21-006679.htm
PING IDENTITY HOLDING CORP,1679826,10K,2019,Q4,2019-01-01,1679826_10K_2020_0001558370-21-001638.htm
ADOBE INC,796343,8K,2020,Q4,2020-01-01,796343_8K_2021_0000796343-21-000028.htm
FASTLY INC,1517413,8K,2021,Q1,2021-02-01,1517413_8K_2021_0001517413-21-000007.htm
UPLAND SOFTWARE INC,1505155,8K,2021,Q1,2021-02-01,1505155_8K_2021_0001505155-21-000007.htm
ISSUER DIRECT CORP,843006,8K,2021,Q1,2021-03-01,843006_8K_2021_0001654954-21-002359.htm
ONESPAN INC,1044777,10Q,2020,Q4,2020-01-01,1044777_10Q_2021_0001558370-21-005697.htm
XPERI HOLDING CORP,1803696,8K,2021,Q3,2021-08-01,1803696_8K_2021_0001564590-21-040249.htm
NEW RELIC INC,1448056,8K,2021,Q1,2021-02-01,1448056_8K_2021_0001448056-21-000006.htm
FASTLY INC,1517413,10Q,2020,Q4,2020-01-01,1517413_10Q_2021_0001517413-21-000195.htm
BOTTOMLINE TECHNOLOGIES INC,1073349,8K,2021,Q2,2021-05-01,1073349_8K_2021_0001073349-21-000059.htm
ISSUER DIRECT CORP,843006,8K,2021,Q1,2021-02-01,843006_8K_2021_0001654954-21-002058.htm
TRADE DESK INC,1671933,8K,2021,Q1,2021-02-01,1671933_8K_2021_0001564590-21-004346.htm
VERTEX INC,1806837,8K,2021,Q4,2021-11-01,1806837_8K_2021_0001558370-21-015388.htm
OKTA INC,1660134,10Q,2020,Q4,2020-01-01,1660134_10Q_2021_0001660134-21-000013.htm
IDEANOMICS INC,837852,10Q,2020,Q4,2020-01-01,837852_10Q_2021_0001104659-21-068054.htm
IDEANOMICS INC,837852,8K,2021,Q4,2021-12-01,837852_8K_2021_0001104659-21-151791.htm
MANHATTAN ASSOCIATES INC,1056696,10Q,2020,Q4,2020-01-01,1056696_10Q_2021_0001564590-21-052706.htm
CORNERSTONE ONDEMAND INC,1401680,8K,2021,Q3,2021-08-01,1401680_8K_2021_0001193125-21-238137.htm
ORACLE CORP,1341439,8K,2021,Q4,2021-12-01,1341439_8K_2021_0001564590-21-059893.htm
UNITY SOFTWARE INC,1810806,8K,2021,Q4,2021-11-01,1810806_8K_2021_0001810806-21-000168.htm
SLACK TECHNOLOGIES INC,1764925,8K,2021,Q1,2021-03-01,1764925_8K_2021_0001764925-21-000045.htm
J2 GLOBAL INC,1084048,10K,2019,Q4,2019-01-01,1084048_10K_2020_0001084048-21-000012.htm
JACK IN THE BOX INC,807882,8K,2021,Q2,2021-05-01,807882_8K_2021_0001157523-21-000673.htm
BILL.COM HOLDINGS INC,1786352,8K,2021,Q3,2021-09-01,1786352_8K_2021_0001193125-21-277838.htm
UNITY SOFTWARE INC,1810806,8K,2021,Q1,2021-03-01,1810806_8K_2021_0001193125-21-084136.htm
PROOFPOINT INC,1212458,8K,2021,Q1,2021-04-01,1212458_8K_2021_0001193125-21-134422.htm
BRIDGELINE DIGITAL INC,1378590,8K,2021,Q2,2021-05-01,1378590_8K_2021_0001437749-21-012638.htm
PAYCOM SOFTWARE INC,1590955,8K,2021,Q1,2021-04-01,1590955_8K_2021_0001193125-21-108883.htm
CLOUDERA INC,1535379,8K,2020,Q4,2020-01-01,1535379_8K_2021_0001628280-21-000249.htm
FIVE9 INC,1288847,10K,2019,Q4,2019-01-01,1288847_10K_2020_0001288847-21-000029.htm
BENTLEY SYSTEMS INC,1031308,8K,2020,Q4,2020-01-01,1031308_8K_2021_0001104659-21-005889.htm
SEACHANGE INTERNATIONAL INC,1019671,8K,2021,Q1,2021-03-01,1019671_8K_2021_0001193125-21-098454.htm
SVMK INC,1739936,10Q,2020,Q4,2020-01-01,1739936_10Q_2021_0001564590-21-025538.htm
CLOUDERA INC,1535379,8K,2021,Q2,2021-06-01,1535379_8K_2021_0001628280-21-012182.htm
PAYCOM SOFTWARE INC,1590955,8K,2021,Q4,2021-11-01,1590955_8K_2021_0001564590-21-053548.htm
MANHATTAN ASSOCIATES INC,1056696,10K,2019,Q4,2019-01-01,1056696_10K_2020_0001564590-21-004542.htm
CROWDSTRIKE HOLDINGS INC,1535527,8K,2020,Q4,2020-01-01,1535527_8K_2021_0001104659-21-005883.htm
QUMU CORP,892482,8K,2021,Q4,2021-11-01,892482_8K_2021_0001628280-21-024232.htm
NORTONLIFELOCK INC,849399,10Q,2020,Q4,2020-01-01,849399_10Q_2021_0000849399-21-000022.htm
ZUORA INC,1423774,10K,2019,Q4,2019-01-01,1423774_10K_2021_0001423774-21-000020.htm
ZENDESK INC,1463172,8K,2021,Q3,2021-10-01,1463172_8K_2021_0001628280-21-020764.htm
BOXLIGHT CORP,1624512,10Q,2020,Q4,2020-01-01,1624512_10Q_2021_0001493152-21-027853.htm
MIX TELEMATICS LTD,1576914,8K,2021,Q4,2021-12-01,1576914_8K_2021_0001628280-21-024569.htm
SYNOPSYS INC,883241,8K,2021,Q4,2021-12-01,883241_8K_2021_0001193125-21-345428.htm
2U INC,1459417,8K,2021,Q4,2021-11-01,1459417_8K_2021_0001193125-21-331183.htm
LIVEPERSON INC,1102993,10Q,2020,Q4,2020-01-01,1102993_10Q_2021_0001102993-21-000134.htm
